APA PsycInfo,
LINE,TERMS
141,"((substance* or drug* or alcohol or opioid* or opiate* or narcotic* or heroin or cannabis or marijuana or inhalant or stimulant* or amphetamine* or methamphetamine*) adj2 (abuse or misuse or dependence or disorder*)).ti,ab,id."
142,"substance use.ti,ab,id."
143,or/123-142
144,suicide prevention/ or suicide prevention centers/
145,exp self-destructive behavior/
146,suicidality/
147,Suicidology/
148,"(suicid* or self-harm* or selfharm*).ti,ab,id."
149,or/144-148
150,62 or 65 or 79 or 82 or 122 or 143 or 149
151,early adolescence/
152,late adolescence/
153,emerging adulthood/
154,students/ or business students/ or classmates/ or college graduates/ or exp college students/ or dental students/ or graduate students/ or high school graduates/ or high school students/ or international students/ or junior high school students/ or law students/ or medical students/ or postgraduate students/ or special education students/ or transfer students/ or vocational school students/ or middle school student/
155,"(juvenile* or underage* or under-age* or teen* or youth* or adolescen* or youngster* or minors).ab,ti."
156,"((young adj2 m#n) or (young adj2 male*) or (young adj2 adult*) or (young adj2 wom#n) or (young adj2 female*) or (young adj2 people) or (young adj2 individual*) or (young adj2 patient*) or (young adj2 participant*) or young person* or emerging adult* or (early adj1 adult*)).ab,ti."
157,"(undergraduate* or (college adj2 student*) or (university adj2 student*) or (highschool adj2 student*) or (high-school adj2 student*) or (secondary adj2 student*) or (college adj2 freshm#n) or (college adj2 senior*) or (college adj2 junior*) or (college adj2 graduat*) or (university adj2 graduat*) or (school adj2 graduat*)).ab,ti."
158,or/151-157
159,30 and 52 and 150 and 158
